symbol,year,periods,pl_cov,bs_cov,cf_cov,rev_acc,np_acc,assets_acc,roe_acc,roce_acc
ADANIENT,FY2025,4,57.1,75.0,100.0,97.2,4.2,63.7,0,99.5
ADANIPORTS,FY2025,4,57.1,75.0,100.0,86.8,58.2,75.8,57.8,98.4
APOLLOHOSP,FY2025,4,85.7,75.0,100.0,86.8,87.8,94.7,58.0,98.5
ASIANPAINT,FY2025,4,85.7,75.0,100.0,98.0,68.0,77.3,60.2,43.8
AXISBANK,FY2025,4,57.1,75.0,100.0,65.7,93.1,86.4,93.0,87.8
BAJAJ-AUTO,FY2025,4,85.7,75.0,100.0,,,,,
BAJAJFINSV,FY2025,4,85.7,75.0,100.0,79.3,97.6,49.1,84.6,91.0
BAJFINANCE,FY2025,4,57.1,75.0,100.0,78.3,84.9,69.3,85.2,89.7
UNK,,0,0.0,0.0,0.0,,,,,
BHARTIARTL,FY2025,4,85.7,75.0,100.0,84.7,0,90.1,58.8,99.9
BPCL,FY2025,4,57.1,75.0,100.0,79.4,50.0,96.8,52.7,41.1
BRITANNIA,FY2025,4,85.7,75.0,100.0,92.2,96.6,99.3,94.5,54.4
CIPLA,FY2025,4,85.7,75.0,100.0,94.3,66.3,77.9,72.9,92.0
COALINDIA,FY2025,4,57.1,75.0,100.0,83.6,95.5,0,65.1,25.3
DIVISLAB,FY2025,4,85.7,75.0,100.0,86.2,78.5,99.1,70.4,81.2
DRREDDY,FY2025,4,57.1,75.0,100.0,91.3,99.4,79.1,93.7,67.0
EICHERMOT,FY2025,4,85.7,75.0,100.0,,,,,
GRASIM,FY2025,4,85.7,75.0,100.0,99.0,53.7,87.2,70.4,34.9
HCLTECH,FY2025,4,57.1,75.0,100.0,93.5,89.3,99.7,94.6,75.0
HDFCBANK,FY2025,4,85.7,75.0,100.0,57.6,94.9,63.9,56.2,71.4
HDFCLIFE,FY2025,4,57.1,75.0,66.7,76.7,84.6,94.8,95.2,10.7
HEROMOTOCO,FY2025,4,85.7,75.0,100.0,95.2,90.9,76.0,96.7,69.6
HINDALCO,FY2025,4,57.1,75.0,100.0,95.9,41.8,71.9,63.9,96.5
HINDUNILVR,FY2025,4,85.7,75.0,100.0,96.5,96.5,0,11.7,8.7
ICICIBANK,FY2025,4,57.1,75.0,100.0,0,75.2,91.3,95.6,0.0
INDUSINDBK,FY2025,4,57.1,75.0,100.0,50.4,31.4,94.6,27.6,0.0
INFY,FY2025,4,57.1,75.0,100.0,95.3,99.5,63.6,88.3,59.7
UNK,,0,0.0,0.0,0.0,,,,,
ITC,FY2025,4,57.1,75.0,100.0,98.3,30.0,92.9,11.3,85.8
JSWSTEEL,FY2025,4,85.7,75.0,100.0,94.7,49.9,82.2,53.8,55.5
KOTAKBANK,FY2025,4,57.1,75.0,100.0,96.5,65.2,86.6,97.4,90.4
LT,FY2025,4,85.7,75.0,100.0,85.0,96.9,74.4,96.6,61.7
M&M,FY2025,4,85.7,75.0,100.0,80.6,79.2,98.6,85.9,94.0
MARUTI,FY2025,4,85.7,50.0,100.0,93.4,88.2,58.2,90.2,68.9
UNK,,0,0.0,0.0,0.0,,,,,
NESTLEIND,FY2025,2,57.1,75.0,100.0,99.8,89.7,38.9,64.5,22.1
NTPC,FY2025,4,85.7,75.0,100.0,92.3,77.6,95.8,96.6,85.2
ONGC,FY2025,4,57.1,75.0,100.0,99.0,89.4,97.5,78.1,59.6
POWERGRID,FY2025,4,85.7,75.0,100.0,94.6,98.1,85.2,82.5,88.8
RELIANCE,FY2025,4,57.1,75.0,100.0,89.3,100.0,86.5,99.5,63.8
SBILIFE,FY2025,4,57.1,50.0,66.7,61.8,72.6,80.1,88.1,9.0
SBIN,FY2025,4,57.1,75.0,100.0,98.0,73.0,81.1,91.0,88.4
SHREECEM,FY2025,4,57.1,75.0,100.0,94.3,54.1,55.8,70.4,54.7
UNK,,0,0.0,0.0,0.0,,,,,
SUNPHARMA,FY2025,4,85.7,75.0,100.0,96.0,89.5,71.5,97.1,80.7
TATACONSUM,FY2025,4,85.7,75.0,100.0,87.4,90.5,59.9,91.7,80.8
TATAMOTORS,,0,0.0,0.0,0.0,,,,,
TATASTEEL,FY2025,4,57.1,75.0,100.0,95.4,99.0,74.5,79.0,72.3
TCS,FY2025,4,57.1,75.0,100.0,94.0,94.7,76.4,96.5,60.7
TECHM,FY2025,4,85.7,75.0,100.0,98.7,24.4,68.4,0,45.6
TITAN,FY2025,4,85.7,75.0,100.0,86.5,95.4,79.3,75.7,48.6
ULTRACEMCO,FY2025,4,85.7,75.0,100.0,89.0,86.2,52.9,71.8,46.3
UPL,FY2025,4,85.7,75.0,100.0,99.4,0,39.9,0,55.9
UNK,,0,0.0,0.0,0.0,,,,,
WIPRO,FY2025,4,57.1,75.0,100.0,99.2,85.8,71.6,89.1,76.6
